名称,简介,药性,功效,适应症
秋葵,亦称黄秋葵、咖啡黄葵，俗名羊角豆、潺茄，脆嫩多汁，滑润不腻，香味独特。,淡，寒。,秋葵中富含的锌和硒等微量元素，对增强人体防癌抗癌能力很有帮助。主要有利咽、通淋、下乳、调经等功效。其中粘性物质，可促进胃肠蠕动，益于助消化，益肠胃。,可治疗咽喉肿痛、小便淋涩、产后乳汁稀少、月经不调，预防糖尿病、预防癌症、保护胃黏膜，青壮年和运动员经常食用，可消除疲劳、迅速恢复体力…
三金片,中成药名。为清热剂，具有清热解毒，利湿通淋，益肾功效。主治下焦湿热所致的热淋、小便短赤、淋沥涩痛、尿急频数；急慢性肾盂肾炎、膀胱炎、尿路感染见上述证候者；慢性非细菌性前列腺炎肾虚湿热下注证。,下焦湿热所致的热淋、小便短赤、淋沥涩痛、尿急频数；急慢性肾盂肾炎、膀胱炎、尿路感染见上述证候者；慢性非细菌性前列腺炎肾虚湿热下注证。,本品为糖衣片或薄膜衣片，除去包衣后显棕色至黑褐色；味酸、涩、微苦。,用药期间请注意肝、肾功能的监测…
荷叶灰,又称荷叶灰，煅荷叶，荷叶碳，荷叶灰是一味中药材，主要健脾，减肥，去除痰湿。,味苦、性寒,健脾、去除痰湿、减肥降脂、清暑利湿。,咳嗽痰多、体热汗多、顽固性肥胖。
麦麸,麦麸，即麦皮，富含纤维素和维生素，主要用途有食用、入药、饲料原料、酿酒等。,性甘，味凉。,预防结肠、直肠癌、乳腺癌，提高食物中的纤维成分。,纤维缺乏性疾病、动脉粥样硬化、直肠癌、乳腺癌。…
茯苓,别名 茯菟、茯灵、茯蕶、伏苓。,味甘、淡，平，归心、肺、脾、肾。,具有渗湿利水，健脾和胃，宁心安神的功效。古人称茯苓为“四时神药”，因为它功效非常广泛，不分四季，将它与各种药物配伍，不管寒、温、风、湿诸疾，都能发挥其独特功效。现代医学研究：茯苓能增强机体免疫功能，茯苓多糖有明显的抗肿瘤及保肝脏作用。,主治小便不利，水肿胀满，痰饮咳逆，食少脘闷，呕吐，脾虚食少，泄泻，心悸不安，失眠健忘，遗精白浊…
薏苡仁,常用利水渗湿药。别名薏米、米仁、苡仁。始载于《神农本草经》。为禾本科植物薏苡的干燥成熟种仁。薏苡仁呈宽卵形或长椭圆形，长4～8毫米，宽3～6毫米，表面乳白色，光滑，偶有残存的黄褐色种皮。一端钝圆，另端较宽而微凹，有一淡棕色点状种脐。背面圆凸，腹面有一条较宽而深的纵沟。质坚实，断面白色粉性。气微，味微甜。利水渗湿、祛湿除痹、健脾止泻、清热排脓。主治小便不利、水肿、脚气、湿痹拘挛、湿温初起以及脾虚泄泻、肺痈、肠痈等证。清热利湿宜生用，健脾止泻宜炒用；脾约便秘者及孕妇忌用…,,,
猪苓,别名野猪粪、豕零、猳猪屎、豕橐、豨苓、地乌桃、野猪食、猪屎苓、司马彪、猪茯苓。,味甘、淡，平，归肾、膀胱经。,利尿利用：猪苓煎剂，相当于生药0.25-0.5g/kg，静脉注射或肌内注射；,利水渗湿。治小便不利，水肿、泄泻，淋浊，带下…
泽泻,泽泻是植物和中药材的统称。植物为多年生沼生草本，属泽泻科。其根状茎较短，基生；又名水泽、如意花。泽泻，多年生沼生植物，高50-100cm。地下有块茎，球形，直径可达4.5cm，外皮褐色，密生多数须根。叶根生；叶柄长达50cm，基部扩延成中鞘状，宽5-20mm；叶片宽椭圆形至卵形，长5-18cm，宽2-10cm。利水渗湿；泄热通淋。主小便不利；热淋涩痛；水肿胀满；泄泻；痰饮眩晕；遗精。内服：煎汤，6-12g；或入丸、散…,,,
冬瓜皮,又名白瓜皮、白东瓜皮，葫芦科植物冬瓜的干燥外皮。,甘，凉。归脾、小肠经，利水消肿，清热解暑。,利水消肿，消热解渴，暑热口渴。水肿，小便不利，小便短赤，伤暑，水渴，痈疮肿痛;跌仆伤损，损伤腰痛。产妇催乳，高血压、肾脏病、浮肿病，肺脓疡、咳嗽脓痰、肠痈(阑尾炎)、便秘，泄泻;防止皮肤色素沉着，美容养颜，减肥解毒，巨大荨麻疹。,果皮为不规则的薄片，内卷筒状，大小不一。外表黄白色至境绿色，光滑或被白粉。内表粗糙，体轻而脆，易折断。气微，味淡…
玉米须,玉米须又名玉麦须，玉蜀黍蕊，棒子毛，禾本科植物。,味甘、淡，性平;归肾、肝、胆经，无任何副作用。,利尿消肿，肾炎水肿，膀胱炎;平肝利胆，胆管炎、胆囊炎、胆结石、黄疸型肝炎，急、慢性肝炎;抗过敏，鼻窦炎、荨麻疹和哮喘，风湿痛;减肥，预防习惯性流产、妊娠肿胀、乳汁不畅，乳腺炎;消暑清热，高血脂、高血压、高血糖;强心、开胃、止喘;脚气。,常用于治疗肾炎浮肿;治胆囊炎、脂肪肝、糖尿病;煎水代茶，对肾炎、膀胱炎、胆囊炎、风湿痛、高血压和肥胖均有疗效…
