名称,简介,药性,功效,适应症
分心木,,味苦涩，性平。,治疗失眠、固涩缩尿、补血活血、固本补气。,失眠、手脚冰凉、尿频、泄泻、痢疾
麻黄根,异名苦椿菜，为麻黄科植物草麻黄或木贼麻黄或中麻黄的根及根茎。,味甘、涩，性平;归心、肺经。,麻黄根甲醇提取物2g/kg(相当于生药)能使大鼠血压明显下降，但首先分离的麻根素对大鼠却显示弱的升压作用，进一步分离获得了多种降压成分，麻黄根碱A、B、C、D3mg/kg对大鼠有降压和减低心率作用，其中麻黄根碱B的作用最强，0.1-3mg/kg对大鼠和自发性高血压大鼠减低血压和心率的作用与剂量相关。,治阳虚自汗，阴虚盗汗…
浮小麦,为禾本科小麦属植物小麦的干燥轻浮瘪瘦的果实。全国产麦地区均有生产。具有益气，除热，止汗之功效。常用于骨蒸劳热，自汗盗汗，香脆感。,味甘；性凉，心经,除虚热；止汗。主止阴虚发热；盗汗；自汗,内服：煎汤，15-30g；或研末。止汁，宜微炒用。
糯稻根须 ,为禾本科稻属植物糯稻的根及根茎。具有养阴除热，止汗之功效，常用于阴虚发热，自汗盗汗，口渴咽干，肝炎，丝虫病。,味甘辛，性平，无毒。归肺、肾经。,补气化痰，滋阴壮胃，除风湿。治阴寒，安胎和血，疗冻疮，金疮。,用于阴虚发热，自汗盗汗，口渴咽干。糯稻根有一定的养胃阴、除虚热和止汗作用。对病后阴虚发热及肺痨蒸热盗汗者，尤为适宜…
五味子,本品为木兰科植物五味子或华中五味子的干燥成熟果实。前者习称“北五味子”，后者习称“南五味子”。秋季果实成熟时采摘，晒干或蒸后晒干，除去果梗及杂质。,酸、甘，温。,收敛固涩，益气生津，补肾宁心。用于久嗽虚喘，梦遗滑精，遗尿尿频，久泻不止，自汗，盗汗，津伤口渴，短气脉虚，内热消渴，心悸失眠。,可提高正常人和眼病患者的视力以及扩大视野；对听力也有良好影响，述可提高皮肤感受器的辨别力…
乌梅,又名酸梅、黄仔、干枝梅，梅实、熏梅、桔梅肉、春梅等。,乌梅味酸、涩，性平。归肝、脾、肺、肾、胃、大肠经。,皮肤瘙痒，瘾疹、顽癣，糖尿病，胃酸，慢性非特异性结肠炎，神经衰弱，慢性肾炎，尖锐湿疣，足跟痛，霉菌性阴道炎，功能失调性子宫出血，细菌性痢疾，钩虫病，牛皮癣，胆囊炎，胆结石，胆道蛔虫症，胆绞痛，敛肺止咳，涩肠止泻，生津止渴，肾炎所致血尿等。,用于肺虚久咳少痰，干咳无痰，急、慢性咽喉炎；蛔虫引起的腹痛、呕吐、四肢厥冷的蛔厥病症；虚热消渴，久泻，久痢等…
五倍子,又名文蛤、百虫仓、木附子、漆倍子、红叶桃、旱倍子等。,五倍子味酸、涩，性寒。归肺、胃、大肠、肝、肾经。,泻痢不止，产后肠脱，自汗盗汗，肾虚遗精，消渴饮水，粪后下血，小便尿血，鼻出血，牙缝出血不止，拔牙止血，孕妇漏胎，宫颈糜烂，一切肿毒，头疮热疮，溃疡，阴囊湿疹，手足皲裂，小儿遗尿，外伤，痔疮，急性湿疹水疱，脚癣脚气，足缝湿烂，睫毛倒卷等。,用于虚劳、遗精滑泻、心神不安;阴虚盗汗、多汗、阳气浮越者;肺肾两虚之久咳、气喘、自汗、盗汗;脾肾两虚之久泻久痢等…
罂粟壳,罂粟科罂粟属植物罂粟的干燥成熟果壳。秋季将已割取浆汁后的成熟果实摘下，破开，除去种子及枝梗，干燥。又名米壳、粟壳、罂子粟壳。本品呈椭圆形或瓶状卵形，多已破碎成片状，直径1.5～5cm，长3～7cm。外表面黄白色、浅棕色至淡紫色，平滑，略有光泽，有纵向或横向的割痕。体轻，质脆。内表面淡黄色，微有光泽。敛肺、涩肠、止痛。用于久咳、久泻，脱肛，脘腹疼痛。本品易成瘾，不宜常服；儿童禁用…,,,
诃子 ,果产呈长圆形或卵圆形，长2-4cm，直径2-2.5cm。表面黄棕色或暗棕色，略具光泽。属于使君子科，别名诃黎勒、诃黎、诃梨、随风子,分布于云南西部和西南部，广东，广西有栽培，多生于海拔800-1800的疏林或者800-1100m的阳坡、林缘。,敛肺；涩肠；下气；利咽。主治久泻；久痢；脱肛；喘咳痰嗽；久咳失音等病症。,咳嗽因于肺有实热，泄泻因于湿热所致，气喘因于火热冲上，带下因于虚热而不因于虚寒，及肠僻初发，湿热正盛，小便不禁因于肾家虚火，法并忌之…
石榴皮,本品为石榴科植物石榴的干燥果皮。秋季果实成熟后收集果皮，晒干。,酸、涩，温。,涩肠止泻；止血；驱虫；痢疾；肠风下血；崩漏；带下；害虫。主鼻衄；中耳炎；创伤出血；月经不调；红崩白带；牙痛；吐血；久泻；久痢；便血；脱肛；滑精；崩漏；带下；虫积腹痛；疥癣,1.驱虫2.抗菌3.抗真菌4.抗病毒。石榴皮碱中毒时，能引起发热、头晕、视物模糊、蚁走感、恶心、呕吐，甚至可招致弱视、腓肠肌痉挛，全身搐搦而虚脱…
肉豆蔻,肉果、玉果、顶头肉,辛，温。归脾、胃、大肠经。,温中行气，涩肠止泻。用于脾胃虚寒，久泻不止，脘腹胀痛，食少呕吐。,虚泻，冷痢。本品辛温而涩，入中焦，能暖脾胃，固大肠，止泻痢，为治疗虚寒性泻痢之要药。胃寒胀痛，食少呕吐。本品辛香温燥，能温中理脾、行气止痛。治胃寒气滞、脘腹胀痛、食少呕吐等证，常与木香、干姜、半夏等药同用…
赤石脂,别名 赤符、红高岭、赤石土、吃油脂、红土。,甘、涩、酸、温、无毒、胃经、大肠经。,涩肠，止血，收湿，生肌。治久泻，久痢，便血，脱肛，遗精，崩漏，带下，溃疡不敛。,《神农本草经》：主黄疸，泄痢，肠僻脓血，阴蚀下血赤白，邪气痈肿，疽痔恶疮，头疡疥瘙。《本草汇言》：渗停水，去湿气，敛疮口，固滑脱，止泻痢肠僻，禁崩中淋带…
禹余粮,"氧化物类矿物褐铁矿的一种矿石，又名石饴饼、石中黄、白禹粮、余粮石、禹粮土。甘涩，平。①《本经》：""味甘，寒。""②《药性论》：""味咸。""③《纲目》：""性涩。""入脾、胃、大肠经。①《纲目》：""手、足阳明血分。""②《本草新编》：""入脾、胃、大肠。""涩肠止血。治久泻久痢，妇人崩漏带下，痔漏。为沼铁矿，主要成分大约相当于Fe2O3.3H2O，但因夹杂砂石、有机物等之量不同，所含Fe2O3可从20～78&#xFF05;不等；又常含多量的磷酸盐…",,,
芡实,又名卵菱、鸡癕、鸡头实、雁喙实、鸡头、雁头、黄实等。,芡实味甘、涩，性平，无毒;归脾、肾经。,慢性前列腺炎，肾虚，遗精，腰膝无力，带下症，婴幼儿腹泻，梦遗漏精，精滑不禁，浊病，老幼脾肾虚热及久痢，老人尿频，纵欲过度的梦遗不止，腰足痿弱，骨内酸疼，肾经虚寒致的缩阳症，神经痛，头痛，关节痛，腰腿痛，调补脾胃，益气养血，健身强筋等。,用于遗精白浊，心虚不宁;肾关不固，遗精滑泄;房室过度，肾经虚寒致的缩阳症，纵欲过度，梦遗不止，腰足痿弱，骨内酸疼…
莲子,又名藕实、水芝丹，莲实，泽芝，莲蓬子等。,莲子味甘涩，性平;归心、脾、肾、胃、肝、膀胱经。,防癌抗癌，降血压，强心安神，滋养补虚，清心火，祛雀斑，心悸、失眠、体虚、遗精、早泄，腹泻，白带过多、慢性腹症，烦躁不安，神志不清，梦遗滑精，产后胎衣不下，淤血腹疼，崩漏带下，子宫出血，增强记忆力，预防老年性痴呆，口舌生疮，尿频，遗尿等。,用于脾虚久泻，遗精带下，心悸失眠，心烦口渴，腰痛脚弱，耳目不聪;妇女崩漏带下，胃虚不欲饮食;强心作用，降低血压等…
海螵蛸,别名乌贼骨、墨鱼骨、乌鲗骨、乌贼鱼骨、墨鱼盖。为乌贼科动物无针乌贼或金乌贼的干燥内壳，收集乌贼鱼的骨状内壳，洗净，干燥。分布于浙江、福建、山东等地。,味咸、涩，性温。归脾、肾经。,具有收敛止血，涩精止带，制酸止痛，收湿敛疮之功效。,常用于吐血衄血，崩漏便血，鼻血不止，遗精滑精，赤白带下，胃痛吞酸，外治损伤出血，湿疹湿疮，溃疡不敛…
鸡冠花,青葙属，普通庭园植物，别名鸡公花、鸡髻花、鸡冠头原产非洲，美洲热带和印度，世界各地广为栽培，为一年生草本植物。喜阳光充足、湿热，不耐霜冻。不耐瘠薄，喜疏松肥沃和排水良好的土壤。花期夏、秋季直至霜降。收敛止血，止带，止痢。用于吐血，崩漏，便血，痔血，赤白带下，久痢不止。作为一种美食，鸡冠花则营养全面，风味独特，堪称食苑中的一朵奇葩。形形色色的鸡冠花美食如花玉鸡等，各具特色，又都鲜美可口，令人回味…,,,
山茱萸,又名山萸肉，山芋肉，山于肉，杭芋肉，杭萸肉等。,山茱萸味酸、涩，性微温。归肝、肾经。,肩周炎，体虚多汗，自汗，盗汗，肾虚眩晕，阳痿遗精，肾虚腰痛，小便不通，肾炎，功能性子宫出血，月经过多，痛经，糖尿病，高血压，帕金森氏病，失眠，脱发，名目，耳鸣，阴阳两虚，心气不足，骨质疏松，脑萎缩，老人尿频失禁，遗尿，脚气，妇女体虚等。,用于腰膝酸痛，头晕耳鸣，健忘，遗精滑精，遗尿尿频，小便频数，虚汗不止，崩漏带下月经不调，大汗虚脱 ，内热消渴等…
覆盆子,别名悬钩子、覆盆、覆盆莓、树梅、树莓、野莓、木莓、乌藨子。是一种蔷薇科悬钩子属的木本植物，是一种水果，果实味道酸甜，植株的枝干上长有倒钩刺。覆盆子植物可入药，有多种药物价值，其果实有补肾壮阳的作用。,味甘、酸，性温。归肝、肾、膀胱经。,具有益肾固精缩尿，养肝明目之功效。,覆盆子油属于不饱和脂肪酸，可促进前列腺分泌苛尔蒙。用于遗精滑精，遗尿尿频，阳痿早泄，目暗昏花…
桑螵蛸,本品为螳螂科昆虫大刀螂 、小刀螂或巨斧螳螂的干燥卵鞘。以上三种分别习称“团蛸”、“长螵蛸”及“黑螵蛸”。深秋至次春采收，除去杂质，蒸至虫卵死后，干燥。别名:蜱蛸，桑蛸，蝉蟾，冒焦，螵蛸，致神，螳螂子,甘、咸，平。,补肾，固精。治遗精，白浊，小便频数，遗尿，赤白带下，阳痿，早泄。,本品助阳固涩，故阴虚多火，膀胱有热而小便频数者忌用…
