名称,简介,药性,功效,适应症
红藤,红藤为木通科、大血藤属落叶、木质藤本植物;茎红褐色;常见于山坡灌丛、疏林等。,味苦，性平。,根茎可药用，有通经活络、散瘀止痛、理气行血、杀虫等功效。,主治风湿痛、天气变化导致的关节酸胀、跌打损伤、痛经、闭经、蛔虫。
桂圆皮,桂圆皮是桂圆的外皮，是很好的一味中药材，一般晒干后使用。,味苦，性平。,可以驱除体内寒凉，温润脾胃，祛风散邪和聪耳明目也是它最重要的功效。,可以用于人类痈疽和溃疡性疾病的治疗，特别是对那些顽固不愈的伤口有良好的愈合功效。
鸡屎藤,鸡屎藤，中药名。为茜草科植物鸡矢藤的全草，夏季采收全草，晒干。,味甘、微苦，性平。,具有祛风利湿，止痛解毒，消食化积，活血消肿之功效。,用于风湿筋骨痛，跌打损伤，外伤性疼痛，肝胆及胃肠绞痛，消化不良，小儿疳积，支气管炎。
黑豆,黑豆又名橹豆、黑大豆等。黑豆具有高蛋白、低热量的特性，外皮黑，里面黄色或绿色。,黑豆营养丰富，含有蛋白质、脂肪、维生素、微量元素等多种营养成分，同时又具有多种生物活性物质，如黑豆色素、黑豆多糖和异黄酮等。,甘，平。入脾、肾经。,活血，利水，祛风，解毒。治水肿胀满，风毒脚气，黄疸浮肿，风痹筋挛，产后风痉、口噤，痈肿疮毒；解药毒…
松子,是松树的种子。松子含脂肪、蛋白质、碳水化合物等。别名松籽、松子仁、海松子、罗松子、红松果等。,性平，味甘。,具有补肾益气、养血润肠、滑肠通便、润肺止咳等作用。既是重要的中药，久食健身心，滋润皮肤，延年益寿，也有很高的食疗价值。,对老年体弱、腰痛、便秘、眩晕、小儿生长发育迟缓均有补肾益气、养血润肠、滋补健身的作用。治疗燥咳、吐血、便秘等病…
千斤拔,千斤拔，别称：蔓千斤拔、吊马桩、吊马墩等。在中国云南、四川、贵州、湖北等地分布。,味甘、涩，性平。,有祛风除湿、舒筋活络、强筋壮骨、消炎止痛等作用。,治风湿骨痛、腰肌劳损、偏瘫，及慢性气管炎、乳腺炎、小儿麻痹后遗症、毒蛇咬伤等症。…
亚麻籽,：亚麻的种子，一年生草本植物。有极强的坚果风味，即使在烤制食品中也是如此。,：味甘;性平。,：养血祛风;润燥通便,：麻风;皮肤干燥;瘙痒;脱发;疮疡湿疹;肠燥便秘。
独活,又名独摇草、独滑、长生草、川独活、肉独活、玉活等。,独活味辛、苦，性微温;归肝、肾、膀胱经。,祛风胜湿，治风湿痹痛、腰膝酸痛、阴寒头痛、面瘫口喁。解表散寒：治感冒恶寒、头身疼痛、上肢疼痛、肩关节周围炎;慢性气管炎，镇咳、平喘，降压，解痉，抗菌，镇静、催眠、镇痛、抗炎，抗溃疡，抗肿瘤;外用治疮痈肿痛;光敏感活性用来治白癜风。,常用于风寒湿痹;腰膝疼痛;少阴伏风头痛，头痛齿痛;可治风扰肾经，伏而不出之少阴头痛，治疗风寒湿痹，白癜风…
威灵仙,本品为毛茛科植物威灵仙 、棉团铁线莲（山蓼）或东北铁线莲（黑薇）的干燥根及根茎。秋季采挖，除去泥沙，晒干。,辛、咸，温。,：祛风湿，通经络，消痰涎，散癖积。治痛风、顽痹、腰膝冷痛，脚气，疟疾，症瘕积聚，破伤风，扁桃体炎，诸骨鲠咽。,①治疗腮腺炎②治疗急性黄疸型传染性肝炎③治疗丝虫病④治疗关节炎⑤治疗麦粒肿、结膜炎等⑥治疗扁桃体炎⑦治疗骨鲠…
川乌,"正名为乌头,别名鹅儿花、铁花、五毒;被子植物门，毛茛科，乌头属，生于山地草坡或灌丛中。根呈不规则圆锥形，气微，味辛、麻舌。",辛、苦，热;有大毒。归心、肝、肾、脾经。,祛风除湿，温经止痛。,用于风寒湿痹、关节疼痛、心腹冷痛、寒疝作痛。用于治疗风寒湿痹、关节疼痛等病症。一般炮制后内服。生川乌酊外用能刺激皮肤，继而产生麻木感，故外用作某些神经痛及风湿的镇痛剂…
蕲蛇,属腹蛇科、腹蛇属，咬人后五步即死，又名大白花蛇、棋盘蛇、五步蛇本品卷呈圆盘状，体长可达2m。头在中间稍向上，呈三角形而扁平，尾端向上，习称“翘鼻头”。上腭有管状毒牙，中空尖税。背部两侧各有黑褐色与浅棕色组成的“V”形斑纹17～25个。祛风，通络，止痉。用于风湿顽痹，麻木拘挛，中风口眼歪斜，半身不遂，抽搐痉挛，破伤风，麻风疥癣。多在夏、秋两季捕捉，剖开蛇腹，去内脏，洗净，用竹片撑开腹部，盘成圆盘状，干燥后拆除竹片…,,,
乌梢蛇,本品为游蛇科动物乌梢蛇的干燥体。多于夏、秋二季捕捉，剖开蛇腹或先剥去蛇皮留头尾，除去内脏，盘成圆盘状，干燥。别名：剑脊乌梢，黑花蛇，乌峰蛇，青蛇，乌风蛇、黄风蛇。,本品呈圆盘状，盘径约16cm。表面黑褐色或绿黑色，密被菱形鳞片;背鳞行数成双，背中央2～4行鳞片强烈起棱，形成两条纵贯全体的黑线。气腥，味淡。,祛风，通络，止痉。用于风湿顽痹，麻木拘挛，中风口眼歪斜，半身不遂，抽搐痉挛，破伤风，麻风疥癣，瘰疬恶疮。,血虚生风者忌用…
木瓜,别名贴梗海棠、铁脚梨、皱皮木瓜、宣木瓜,：酸，温。归肝、脾经。,舒筋活络，和胃化湿。主风湿痹痛，肢体酸重，筋脉拘挛，吐泻转筋，脚气水肿。下部腰膝无力，由于精血虚、真阴不足者不宜用。伤食脾胃未虚、积滞多者，不宜用。,用量6~9克，煎汤内服，用治湿痹拘挛、腰膝关节酸肿疼痛、吐泻转筋、脚气水肿。用木瓜片5片/次，3次/日治疗急性细菌性痢疾。木瓜冲剂治急性病毒性肝炎；木瓜胶代血浆治出血性休克，又可治风湿性关节炎、脚癣等…
蚕沙,原蚕屎、晚蚕沙、蚕砂、原蚕沙、马鸣肝、晚蚕矢、二蚕沙、蚕屎。蚕沙味甘；辛；性温。肝；脾；胃经干燥的蚕沙，呈短圆柱形小粒，长2～5毫米，直径1.5～3毫米。表面灰黑色，粗糙，有6条明显的纵棱及3～4条横向的浅纹。两端略平坦，呈六棱形。质坚而脆，遇潮湿后易散碎。,祛风除湿；和胃化浊；活血通经。主风湿痹痛；肢体不遂；风疹瘙痒；吐泻转筋；闭经；崩漏,用于风湿痹痛，腰脚冷痛，皮肤痒疹。血不养筋、手足不遂者禁服…,
伸筋草,本品为石松科植物石松的干燥全草。夏、秋二季茎叶茂盛时采收，除去杂质，晒干。别名：石松、狮子尾、狮子草、绿毛伸筋、小伸筋、舒筋草,"本品匍匐茎呈细圆柱形，略弯曲，其下有黄白色细根。直立茎作二叉状分枝。叶密生茎上，螺旋状排列，皱缩弯曲，线形或针形，长3 
～5mm ，黄绿色至淡黄棕色，无毛，无臭，味淡。",祛风除湿，舒筋活络。用于关节酸痛，屈伸不利。,伸筋草醇提取物有明显镇痛作用；水浸液有解热作用；其混悬液能显著延长戊巴比妥钠睡眠时间和增强可卡因的毒性反应…
