名称,简介,药性,功效,适应症
韭菜籽,,味辛、甘，性温,行气理血、补肾壮阳、治腰腿无力、关节疼痛、治白带异常、保肝健胃毒。,反胃、男性遗精和早泄、白带异常、便秘
沙姜,沙姜为一年生草本植物，其性耐旱耐瘠怕浸。,味辛，性温。,治心腹冷痛，停食不化，跌打损伤，牙痛。,用于胸隔胀满，脘腹冷痛。饮食不消。…
白附子,为天南星科植物独角莲的块茎。秋季采挖块茎，除去残茎、须根，撞去或用竹刀削去粗皮，洗净，晒干。干燥块茎，呈椭圆形或卵圆形，长2～4厘米，直径约1～2厘米。表面白色或黄白色，略粗糙，有环纹及小麻点状的根痕。顶端显茎痕或芽痕。质坚硬，难折断，断面白色，富粉性，无臭，味淡，嚼之麻辣刺舌。祛风痰，定惊，止痛。治中风失音，心痛血痹，偏正头痛，喉痹肿痛，瘰疬，破伤风。内服：煎汤，1～3钱：或浸酒。外用：捣烂敷或研末调敷…,,,
附子,又名乌头或附片，别名草乌、乌药、盐乌头、鹅儿花、铁花、五毒。属温里药。,味辛、甘，性热，有毒。归心经、脾经、肾经。,具有回阳救逆、补火助阳，散寒止痛，逐风寒湿邪之功效。附子还能增强心肌收缩力，加快心率，增加心输出量，增加心肌耗氧量，扩张血管，增加血流，改善血液循环的作用。,治阴盛格阳，大汗亡阳，吐利厥逆，心腹冷痛，脾泄冷痢，脚气水肿小儿慢惊，风寒湿痹，踒躄拘挛，阳萎宫冷，阴疽疮漏及一切沉寒痼冷之疾…
干姜,别名白姜、均姜、干生姜。冬季采挖，除去须根及泥沙，晒干或低温干燥。趁鲜切片晒干或低温干燥者称为“干姜片”。,味辛，性热。归脾、胃、肾、心、肺经。,温中散寒，回阳通脉，燥湿消痰，温肺化饮。,用于脘腹冷痛，呕吐泄泻，肢冷脉微，寒饮喘咳。用于治脾胃虚寒，腹痛下利，以及胃中寒饮，喜唾涎沫，中寒水泻，寒痢青色，治妊娠呕吐不止，可煮粥，煎汤等…
肉桂,别名 玉桂、牡桂、菌桂、筒桂、大桂、薄桂,性大热，味辛、甘。归肾、脾、心、肝经,补火助阳，引火归源，散寒止痛，活血通经。暖脾胃，除积冷，通血脉。治命门火衰，肢冷脉微，亡阳虚脱，腹痛泄泻，寒疝奔豚，腰膝冷痛，经闭症瘕，阴疽，流注，及虚阳浮越，上热下寒。,"肉柱为辛热药，本草有""小毒""之记载，用量不宜过大。曾有报道，顿服肉桂末1.2两后，发生头晕、眼花、眼胀、眼涩、咳嗽、尿少、干渴、脉数大等毒性反应，经换服寒凉药后1～2周才逐渐消除…"
吴茱萸,别名吴萸、茶辣、辣子、臭辣子、吴椒、臭泡子、左力、食茱萸吴萸、漆辣子、优辣子、曲药子、气辣子。,辛、苦，热；有小毒。归肝、脾、胃、肾经。,能起到镇痛作用，其镇痛成分为吴茱萸碱、吴茱萸次碱、异吴茱萸碱及吴茱萸内酯；另外对心血管系统也有好的作用，资料表明，吴茱萸的降压作用是通过多种活性成分、多种机制产生的；当然该品对消化系统也是有作用的。,散寒止痛，降逆止呕，助阳止泻。用于头痛、疝痛、脚气、痛经、脘腹胀痛、呕吐吞酸、口疮…
小茴香,小茴香又称怀香，香丝菜，茴香、谷茴香、香子。,中药小茴香性温，味辛，归肝、肾、脾、胃经。,开胃，散寒。主治：中焦有寒，食欲减退，食少吐泻，恶心呕吐，腹部冷痛;疝气疼痛，睾丸肿痛，睾丸偏坠;脾胃气滞，脘腹胀满作痛，暖胃气、散塞结，散寒止痛，理气和胃;抗溃疡、镇痛、性激素样;脾胃虚寒，肠绞痛，痛经，用于寒疝腹痛，妇女痛经。,中医学入药，用于寒疝腹痛，睾丸偏坠，痛经，脘腹胀痛，食少吐泻等;作香料，常用于肉类、海鲜及烧饼等面食的烹调…
丁香,又称丁香、百结、情客、龙梢子、华北紫丁香，紫丁白,落叶灌木或小乔木。小枝近圆柱形或带四棱形，具皮孔。冬芽被芽鳞，顶芽常缺。叶对生，单叶，稀复叶，全缘，稀分裂;具叶柄。花两性，聚伞花序排列成圆锥花序，顶生或侧生，与叶同时抽生或叶后抽生;具花梗或无花梗;花萼小，钟状。,温中降逆，补肾助阳。用于脾胃虚寒，呃逆呕吐，食少吐泻，心腹冷痛，肾虚阳痿。丁香炮制：除去杂质，筛去灰屑。用时捣碎。,不宜与郁金同用…
高良姜,又名徐闻良姜，别名风姜、小良姜、膏凉姜、良姜、蛮姜、佛手根、海良姜、高凉姜。为姜科植物，是一种热带多年生长的山姜属食药兼用的植物资源，因出于古高凉郡 (今广东省湛江、茂名一带) 故名高凉姜，后因谐音而讹称为高良姜。,味辛，性热。归脾、胃经。,养脾温胃，止呕，散寒止痛。,用于脘腹冷痛，胃寒呕吐，嗳气吞酸，可治疗卒心腹绞痛如剧，两胁支满，烦闷不可忍。外用可治双目突然红痛，风牙痛肿…
胡椒,又名古月、黑川、百川，依后处理方法的不同，可得白胡椒、黑胡椒两种主要产品，还有灰白胡椒、青胡椒等本品为胡椒科植物胡椒的干燥近成熟或成熟果实。秋季至次年春季呈暗绿色时，当果穗基部的果实开始变红时，剪下果穗，晒干或烘干，取下果实。温中散寒，下气，消痰。用于胃寒呕吐，腹痛泄泻，食欲不振，癫痫痰多。胡椒主要产于东南亚地区和巴西，多栽培在海拔500m以下的平地和缓坡地…,,,
花椒,花椒是一种常见的调味料，也可做药用，别名香椒、大花椒、椒目、大椒、秦椒等。落叶灌木或小乔木，高3-7m，茎干通常有增大皮刺；枝灰色或褐灰色，有细小的皮孔及略斜向上生的皮刺；当年生小枝被短柔毛。除各种肉类的腥气；促进唾液分泌，增加食欲；使血管扩张，从而起到降低血压的作用；服花椒水能去除寄生虫；有芳香健胃、温中散寒、除湿止痛、杀虫解毒、止痒解腥的功效。花椒，分布于我国北部至西南，我国华北、华中、华南均有分布…,,,
荜茇,别名 荜拔、鼠尾、荜拨、荜拨梨、阿梨诃吔、椹圣、蛤蒌、阿梨诃他。,辛，热。归胃、大肠经,治心腹冷痛，呕吐吞酸，肠鸣泄泻，冷痢，阴疝，头痛，鼻渊，齿痛。温中止痛：主治肠胃痼冷，脘腹冷痛，呕吐泄泻。此外，外敷也治牙痛。温中散寒、用于胃寒所致之脘腹痛、呕吐、腹泻，常配高良姜。,辛热，善走胃肠，能温散肠胃痼冷，而具温中止痛之功。 温中止痛：主治肠胃痼冷，脘腹冷痛，呕吐泄泻…
荜澄茄,别名 澄茄、毗陵茄子、毕澄茄、毕茄、山鸡椒、野胡椒。,辛，温。归脾、胃、肾、膀胱经。,温中散寒，行气止痛。根：用于胃寒呕逆，脘腹冷痛，寒疝腹痛，寒湿郁滞，小便浑浊。叶：外用治痈疖肿痛，乳腺炎，虫蛇咬伤，预防蚊虫叮咬。子：感冒头痛，消化不良，胃痛。,对阴虚火旺之人忌食、干燥综合征，结核病、糖尿病者忌食、发热咳嗽禁用…
山柰,本品为姜科植物山柰的干燥根茎。冬季采挖，洗净，除去须根，切片，晒干，又名三藾、沙姜、山辣、三奈子、三赖、三柰、山柰本品多为圆形或近圆形的横切片，直径1～2cm，厚0.3～0.5cm。外皮浅褐色或黄褐色，皱缩，有的有根痕或残存须根；切面类白色，粉性，常鼓凸。质脆，易折断。气香特异，味辛辣。行气温中，消食，止痛。用于胸隔胀满，脘腹冷痛，饮食不消。多年生草本，根状茎块状，单生或丛生，淡绿色，芳香；根从根状茎上生出，粗壮，多数。叶通常2枚，相对而生…,,,
川乌头,又名：川乌、乌喙、奚毒等，多年生草本，高60-120cm。为植物毛茛科乌头栽培品的块根。产于四川。夏季挖出全株，除去茎叶，再将子根摘下，分取母根，晒干，生用，多制用。,辛，热，有毒。,祛风除湿；温经；散寒止痛。主风寒湿痹；关节疼痛；肢体麻木；半身不遂；头风头痛；心腹冷痛；寒疝作痛；跌打瘀痛；阴疽肿毒；并可用于麻醉止痛。,阴虚阳盛，热证疼痛及孕妇禁服。反半夏、栝楼、天花粉、川贝母、浙贝母、白蔹、白及。酒浸、酒煎服，易致中毒，应慎服…
草乌头,别名 耿子、帝秋、独白草、土附子、竹节乌头、金鸦、断肠草、即子、五毒根、耗子头。,辛、热、有毒、入肝、脾、肺经。,搜风胜湿，散寒止痛，开痰，消肿。治风寒湿痹，中风瘫痪，破伤风，头风，脘腹冷痛，痰癖，气块，冷痢，喉痹，痈疽，疔疮，瘰疬。,草乌亦含乌头碱，用之不当，极易引起中毒。其表现与川乌基本相同，如舌、四肢或全身发麻，恶心、呕吐，烦躁不安…
