名称,简介,药性,功效,适应症
炉甘石,甘石、浮水甘石、卢甘石、羊肝石、芦甘石、炉眼石、干石。,苦、寒、肝经、大肠经。,去翳退赤，收温敛疮。治目赤翳障，烂弦风眼，溃疡不敛，皮肤湿疮。,广用于皮肤科，作为中度的防腐、收敛、保护剂治疗皮肤炎症或表面创伤。外用可抑制局部葡萄球菌生长。能部分吸收创面分泌液，有收敛、保护作用;尚能抑制局部葡萄球菌的生长…
硼砂,大朋砂、蓬砂、鹏砂、月石、盆砂,甘、咸，凉。,清热消痰；解毒防腐。主咽喉肿痛；口舌生疮；目赤翳障胬肉；阴部溃疡；骨哽；噎膈；咳嗽痰稠。,治疗癫痫，治疗闪腰，治疗霉菌性阴道炎
升药,又称升丹、三仙丹、红升丹、黄升丹。,苦；平，肺经。,提脓拔毒，去腐生肌。治痈疽疮疡溃后脓水淋漓，腐肉不去，瘘管，下疳，梅毒等。,该品有毒，一般不宜内服。外用亦不宜大量持久使用，近口、眼、乳头、脐中等部位不宜用；疮面过大时亦不宜用，以防蓄积中毒。肝肾功能不全者、孕妇禁用。
轻粉,别名汞粉、峭粉、水银粉、腻粉、银粉、扫盆,辛，寒；有毒。归大肠、小肠经。,外用杀虫，攻毒，敛疮；内服祛痰消积，逐水通便。外治用于疥疮，顽癣，臁疮，梅毒，疮疡，湿疹；内服用于痰涎积滞，水肿膨胀，二便不利。,杀虫，攻毒，利水，通便。治疥癣，瘰疬，梅毒，下疳，皮肤溃疡，水肿，臌胀，大小便闭。本品有毒，不可过量；内服慎用；孕妇禁服…
砒石,为氧化物类矿物砷华的矿石。目前多为毒砂、雄黄等含砷矿石的加工制成品。少数为选取天然的砷华矿石，多数为加工制成。别名：砒黄，信砒，人言，信石,辛酸，热，有毒。,劫痰截疟，杀虫，蚀恶肉。治寒痰哮喘，疟疾，休息痢，痔疮，瘰疬，走马牙疳，癣疮，溃疡腐肉不脱。,本品剧毒，内服宜慎用，须掌握好用法用量，不可持续服用，不能做酒剂服。孕妇忌服。外用也不宜过量，以防局部吸收中毒…
了哥王,,味苦、微辛，性寒,清热解毒、消毒散结、止咳化痰、泻下通便、祛风除痹、抑菌。,热痹、鹤膝风、麻风、梅毒，痈疮，无名肿毒。…
铅丹,为纯铅经加工制造而成的四氧化三铅。别名：黄丹、朱丹、红丹、漳丹、彰丹、朱粉、松丹、陶丹、铅黄、丹粉。,辛、咸，微寒。有毒。,拔毒生肌，敛疮。外用治疮疡肿毒，创伤出血，烧烫伤。,铅为多亲和性毒物，可作用于全身各系统，主要损害神经、造血、消化及心血管系统。微量较长时间应用，亦可造成慢性铅中毒。本品有毒，不宜内服，慎防铅中毒…
夏桑菊,,味甘苦，性凉,清肝明目，疏风散热，解疮毒。,风热感冒，目赤头痛，头晕耳鸣，咽喉肿痛。…
菩提根,菩提根不是树根，而是一种叫做贝叶棕的种子，属于菩提子的一种。,味苦、涩，性平。,增强体质，消除疲劳。,失眠多梦、感冒、体虚。…
龙血竭,血竭为百合科剑叶龙血树的树脂，主要分布在我国云南及东南亚国家。,性温、平，味甘、咸，无毒。,活血散瘀，定痛止血，敛疮生肌。,用于跌打损伤，瘀血作痛，妇女气血凝滞，外伤出血，脓疮久不收口。…
