名称,简介,药性,功效,适应症
桂花,,味辛，性温,止咳化痰、养生润肺、活血、美容养颜、缓解胃部不适。,口臭、便秘、视觉不明、荨麻疹、肠胃不适、口腔炎、牙周炎
胆南星,胆南星是制天南星的细粉与牛、羊或猪胆汁经加工而成。,味苦、微辛，性凉。,有清火化痰，镇惊定痼、解风痰热滞的功效。,适用于中风痰迷，惊风癫痫，痰火喘嗽，头风眩晕等症。
瓜蒌皮,栝楼皮，中药名，为葫芦科植物栝楼及中华栝楼的果皮。,味甘、微苦，性寒。,清肺化痰，利气宽胸散结。,常用于肺热咳嗽，胸胁痞痛，咽喉肿痛，乳癖乳痈。…
瓜蒌子,瓜蒌子又称栝楼子，中药名。为葫芦科植物栝楼及中华栝楼的种子。,味甘、微苦，性寒。,具有清肺化痰，清火止渴，滑肠通便之功效。还具有抑制血小板聚集、抗癌等作用。,适用于痰热咳嗽，肺虚燥咳，肠燥便秘，痈疮肿毒，腰腿疼痛等症。
杏仁,分为甜（南）杏仁和苦（北）杏仁。,甘苦，必须用清水浸泡3天才能去除苦味，苦杏仁有微毒性，归肺，脾，大肠经。,南杏仁味道微甜、细腻，多用于食用，具有润肺、止咳、滑肠等功效，北杏仁带苦味，多作药用，具有润肺、平喘的功效。,南杏仁偏于滋润，对干咳无痰、肺虚久咳等症有一定的缓解作用，北杏仁善于降肺气平喘，对于因伤风感冒引起的多痰、咳嗽、气喘等症状疗效显著，婴儿慎用…
虫草花,“虫草花”并非花，实质上是虫草子实体，而不是冬虫夏草子实体。培养基是仿造天然虫子所含的各种养分，包括谷物类、豆类、蛋奶类等，属于一种真菌类。,比较中性，虫草花含有丰富的蛋白质、18种氨基酸、17种微量元素、12种维生素,眩晕耳鸣，健忘不寐，腰膝酸软，阳痿早泄，久咳虚喘。,本药膳可作为体质虚弱者的常用保健食疗，亦可作为肺虚或肺肾两虚之久咳虚喘、肾虚腰痛等的药膳治疗…
火龙果,火龙果又称红龙果、龙珠果，是仙人掌科三角柱属或蛇鞭柱属植物果实。,温。,具有抗氧化、抗自由基、抗衰老的作用，还具有预防痴呆症的作用；富含维生素c，可以消除氧自由基，具有美白皮肤的作用；火龙果对咳嗽、气喘有独特疗效，还有预防便秘、防老年病变、抑制肿瘤等多种功效。,脸色苍白、四肢乏力、经常腹泻等症状的寒性体质者不宜多吃；而女性在月经期间也不宜食用火龙果…
柚子,又名文旦、香栾、朱栾、内紫等。是芸香科植物柚的成熟果实，产于我国福建、江西、湖南、广东、广西、浙江、四川等南方地区。,味甘酸、性凉。,具有理气化痰、润肺清肠、补血健脾等功效，能治食少、口淡、消化不良等症，能帮助消化、除痰止渴、理气散结。,柚子不但营养价值高，而且还具有健胃、润肺、补血、清肠、利便等功效，可促进伤口愈合，对败血病等有良好的辅助疗效。可降低血液的黏滞度，减少血栓的形成…
半夏,"别名 
莱阳沙参、海沙参、辽沙参、条沙参、银条参、莱阳参、野香菜根、真北沙参、多年生草本。茎大部埋在沙中，部分露于地面，密被灰褐色绒毛。",性微寒，味甘、微苦。,养阴清肺，益胃生津。用于肺热燥咳，劳嗽痰血，热病津伤口渴。,《本草从新》：专补肺阴，清肺火，治久咳肺痿。《饮片新参》：养肺胃阴，治劳咳痰血。《东北药植志》：治慢性支气管炎，肺结核，肺膨胀不全，肺脓疡等…
天南星,别名南星、白南星、山苞米、蛇包谷、山棒子、虎掌、半夏精、蛇头天南星、虎掌南星、虎膏、蛇芋、三棒子、药狗丹、大扁老鸦芋头、斑杖、蛇六谷、野芋头、蛇木芋、鬼南星。,苦、辛，温；有毒。归肺、肝、脾经。,燥湿化痰，祛风止痉，散结消肿。本品辛开苦泄，温燥化痰，既除经络风痰，又除脾胃湿痰，长于息风止痉，适于风痰诸证及顽痰咳喘，为温燥性烈之品。,用于顽痰咳嗽，风痰眩晕，中风痰壅，口眼歪斜，半身不遂，癫痫，惊风，破伤风。生用外治痈肿，蛇虫咬伤…
白芥子,别名辣菜子，一年或二年生植物白芥SinapisalbaL.的干燥成熟种子。十字花科，呈球形，表面灰白色至淡黄色，种皮薄而脆，有油性。无臭，味辛辣。可入药。,辛，温。入肺、胃经。,利气豁痰，温中散寒，通络止痛。治痰饮咳喘，胸胁胀满疼痛，反胃呕吐，中风不语，肢体痹痛麻木，脚气，阴疽，肿毒，跌打肿痛。,化痰逐饮；散结消肿。主咳喘痰多；胸满胁痛；肢体麻木；关节肿痛；湿痰流注；阴疽肿毒…
冰糖雪梨,冰糖炖雪梨不但味道鲜美，外形美观，还是一道非常有用的食疗药膳，它对一些症状起到的功效与作用也十分显着。,味甘，性平。,清热化痰、止咳、滋阴润肺、生津养胃、温中止呃。,适用于慢性气管炎、百日咳、慢性咽炎、胃阴不足、脾虚失和而见呃逆患者等。…
皂荚,又名皂角树，是我国特有的苏木科皂荚属树种之一，生长旺盛，雌雄异株，雌树结荚（皂角）能力强。果实呈扁长的剑鞘状而略弯曲．长15-20cm，宽2-3.5cm，厚0.8-1.5cm，表面深紫棕色至黑棕色，被灰色粉霜，种子所在处隆起，基部渐狭而略弯，有短果柄或果柄痕。气特异，有强烈刺激性，粉末嗅之有催嚏性，味辛辣。祛风痰，除湿毒，杀虫。治中风口眼歪斜，头风头痛，咳嗽痰喘，肠风便血，下痢噤口，痈肿便毒，疮癣疥癞…,,,
